IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IC_GROUP0;IC_GROUP1;IC_GROUP2
29;компания1;29;Y;;;/upload/medialibrary/019/2378mp3rtckk2zxirdrvdi7xfnwv6ruh.png;;text;;;text;comp1;500;;;;
30;компания2;30;Y;;;/upload/medialibrary/158/xx9pvd45tmfpf3n707lnlrprtwvqauy0.png;;text;;;text;comp2;500;;;;
31;компания3;31;Y;;;/upload/medialibrary/fdc/tkugz10a42tc2lzhbs9262cb3w6ubslm.png;;text;;;text;conp3;500;;;;
32;компания4;32;Y;;;/upload/medialibrary/40b/5gcdfd6iz7ni5fjilfm1xn575knh2nyz.png;;text;;;text;comp4;500;;;;
33;компания5;33;Y;;;/upload/medialibrary/13a/qetmcqlwoxctrd6mn658mck22kmom4es.png;;text;;;text;comp5;500;;;;
34;компания6;34;Y;;;/upload/medialibrary/56d/dwqlz123gq290kjkj1yn7yoqc9je8wbe.png;;text;;;text;comp6;500;;;;
35;компания7;35;Y;;;/upload/medialibrary/4a4/5ra7o4r2iin0kzvg7w5hfjo9v3ie53o5.png;;text;;;text;comp7;500;;;;
36;компания8;36;Y;;;/upload/medialibrary/250/iagwcz242w849bxpvzr1zh0a65hmjzcs.png;;text;;;text;comp8;500;;;;
37;компания9;37;Y;;;/upload/medialibrary/039/700bfu0g0pxyaw67ysm5ly1kl5ckru3l.png;;text;;;text;comp9;500;;;;
38;компания10;38;Y;;;/upload/medialibrary/9ea/nnceelxhk2bpa5cff362ljfi5f4d9hcg.png;;text;;;text;comp10;500;;;;
39;компания11;39;Y;;;/upload/medialibrary/db1/sghwtb8t435j0lje8vecwei8uij8vc1l.png;;text;;;text;comp11;500;;;;
40;компания12;40;Y;;;/upload/medialibrary/7af/ke7su73fh05hmome2rb9wbholh2rlidk.png;;text;;;text;comp12;500;;;;
41;компания13;41;Y;;;/upload/medialibrary/689/iwtx988huuh4kiw0qm66l1y357r9zs19.png;;text;;;text;comp13;500;;;;
